"All Credit Cards","All Credit Cards"
"All Payment Methods","All Payment Methods"
"Amount","Amount"
"Are you sure?","Are you sure?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"As Specified","As Specified"
"Autocapture","Autocapture"
"Autofee","Autofee"
"Cancel","Cancel"
"Cancel","Cancel"
"Cancelled","Cancelled",
"Cannot modify a payment that has been processed.","Cannot modify a payment that has been processed."
"Capture","Capture"
"Captured","Captured"
"Capture payment immediately.","Capture payment immediately."
"Card number","Card number"
"Charge transaction fee.","Charge transaction fee."
"City","City"
"Could not cancel payment.","Could not cancel payment."
"Could not create payment object.","Could not create payment object."
"Could not send email.","Could not send email."
"Could not send email. The sales contact is empty.","Could not send email. The sales contact is empty."
"Country","Country"
"Country Code","Country Code"
"Created At","Created At"
"Customer Email","Customer Email"
"Customer Information","Customer Information"
"Customer Name","Customer Name"
"CVV/CVD","CVV/CVD"
"Edit Payment","Edit Payment"
"Error","Error"
"Error during operations rendering.","Error during operations rendering."
"Error with the link.","Error with the link."
"Expiration Month/Year","Expiration Month/Year"
"Get Payment Status","Get Payment Status"
"ID","ID"
"Iframe","Iframe"
"Link","Link"
"Name","Name"
"No","No"
"No payment id specified.","No payment id specified."
"No payments found.","No payments found."
"Order ID","Order ID"
"Pay","Pay"
"Payment cancelled, please wait for a few seconds.","Payment cancelled, please wait for a few seconds."
"Payment cancelled.","Payment cancelled."
"Payment Information","Payment Information"
"Payment link","Payment link"
"Payment link:","Payment link:"
"Payment not found.","Payment not found."
"Payment not loaded.","Payment not loaded."
"Payment updated successfully.","Payment updated successfully."
"Redirect","Redirect"
"Refund","Refund",
"Refunded","Refunded"
"Result","Result"
"Secure payment by","Secure payment by"
"Send Payment Link","Send Payment Link"
"Shop ID","Shop ID"
"Show in Cart Page","Show in Cart Page"
"Show in Category Page","Show in Category Page"
"Show in Product Page","Show in Product Page"
"State","State"
"Street","Street"
"Success.","Success."
"There was a problem with the payment. Please try again.","There was a problem with the payment. Please try again."
"Time","Time"
"Transaction Log","Transaction Log"
"Trying to capture more than authorized.","Trying to capture more than authorized."
"Trying to refund more than captured.","Trying to refund more than captured."
"Type","Type"
"Update & Pay Now","Update & Pay Now"
"Updated At","Updated At"
"Update Payment and Send Link","Update Payment and Send Link"
"Used as payment language","Used as payment language"
"Which Card logos to show","Which Card logos to show"
"Yes","Yes"
"Zip Code","Zip Code"
